;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Status Quo;;FW-Szenario 1 - Nur Versorgung der Altstadt;;;;;;;FW-Szenario 2  - Versorgung von Altstadt & Zusmmenschluss WHHW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;7;283;;369;524;674;816;951;1.081;;369;524;813;1.477;1.733;1.979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;8;344;;373;531;683;827;964;1.095;;373;531;824;1.497;1.757;2.006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;9;321;;380;540;694;840;980;1.113;;380;540;838;1.521;1.785;2.037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;10;291;;390;554;711;860;1.003;1.139;;390;554;858;1.557;1.827;2.085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;11;267;;398;566;727;880;1.026;1.166;;398;566;878;1.593;1.869;2.133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;12;257;;408;579;744;900;1.050;1.193;;408;579;898;1.629;1.912;2.183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;13;238;;417;593;762;922;1.075;1.221;;417;593;919;1.668;1.957;2.234;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;14;225;;427;607;780;943;1.100;1.250;;427;607;941;1.708;2.004;2.287;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;15;205;;437;621;798;966;1.126;1.279;;437;621;963;1.748;2.051;2.341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;16;184;;449;639;821;993;1.158;1.315;;449;639;990;1.797;2.109;2.408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;17;185;;462;657;844;1.022;1.191;1.353;;462;657;1.019;1.849;2.170;2.477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;18;180;;474;675;867;1.049;1.224;1.390;;474;675;1.046;1.900;2.231;2.546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;19;199;;487;693;890;1.078;1.257;1.428;;487;693;1.075;1.952;2.291;2.615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;20;213;;496;706;907;1.098;1.280;1.455;;496;706;1.095;1.988;2.334;2.664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;21;227;;507;721;927;1.122;1.309;1.487;;507;721;1.119;2.033;2.386;2.724;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;22;222;;518;737;947;1.146;1.336;1.518;;518;737;1.143;2.075;2.435;2.780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;23;201;;528;751;966;1.168;1.362;1.548;;528;751;1.165;2.115;2.483;2.834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;19;24;191;;539;767;986;1.192;1.390;1.580;;539;767;1.189;2.158;2.533;2.891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;1;192;;548;779;1.001;1.211;1.412;1.605;;548;779;1.208;2.193;2.573;2.937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;2;194;;557;792;1.017;1.230;1.435;1.630;;557;792;1.227;2.227;2.614;2.984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;3;205;;565;804;1.032;1.249;1.456;1.655;;565;804;1.246;2.261;2.654;3.029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;4;208;;574;816;1.048;1.268;1.478;1.680;;574;816;1.264;2.295;2.694;3.075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;5;216;;582;827;1.063;1.286;1.500;1.704;;582;827;1.282;2.328;2.732;3.119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;6;258;;590;839;1.078;1.305;1.522;1.729;;590;839;1.301;2.362;2.773;3.165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;7;359;;599;851;1.093;1.322;1.541;1.751;;599;851;1.318;2.392;2.808;3.204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;8;431;;609;865;1.112;1.345;1.568;1.781;;609;865;1.341;2.433;2.855;3.259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;9;452;;618;878;1.128;1.365;1.592;1.808;;618;878;1.361;2.471;2.900;3.310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;10;424;;628;894;1.149;1.390;1.620;1.841;;628;894;1.386;2.516;2.953;3.371;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;11;405;;640;910;1.170;1.415;1.650;1.875;;640;910;1.411;2.562;3.007;3.433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;12;401;;650;925;1.188;1.438;1.677;1.905;;650;925;1.434;2.603;3.055;3.487;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;13;386;;658;935;1.202;1.455;1.696;1.927;;658;935;1.451;2.634;3.091;3.529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;14;375;;664;945;1.214;1.469;1.713;1.947;;664;945;1.465;2.661;3.123;3.564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;15;390;;669;951;1.223;1.480;1.725;1.960;;669;951;1.475;2.679;3.145;3.589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;16;378;;672;956;1.228;1.486;1.733;1.969;;672;956;1.482;2.691;3.158;3.605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;17;379;;673;957;1.230;1.488;1.736;1.972;;673;957;1.484;2.695;3.163;3.610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;18;372;;672;956;1.229;1.487;1.734;1.970;;672;956;1.483;2.692;3.160;3.607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;19;336;;671;955;1.226;1.484;1.730;1.965;;671;955;1.479;2.685;3.152;3.597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;20;380;;669;951;1.222;1.479;1.724;1.959;;669;951;1.475;2.676;3.141;3.585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;21;379;;665;946;1.215;1.470;1.714;1.947;;665;946;1.466;2.661;3.123;3.564;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;22;374;;660;939;1.206;1.460;1.702;1.934;;660;939;1.455;2.643;3.101;3.540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;23;359;;655;932;1.197;1.448;1.689;1.919;;655;932;1.444;2.622;3.078;3.513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;20;24;319;;648;922;1.185;1.434;1.672;1.900;;648;922;1.430;2.597;3.048;3.479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;1;321;;642;913;1.174;1.421;1.657;1.883;;642;913;1.417;2.574;3.021;3.448;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;2;320;;636;905;1.163;1.407;1.641;1.865;;636;905;1.403;2.549;2.992;3.415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;3;332;;630;896;1.152;1.394;1.625;1.846;;630;896;1.390;2.524;2.962;3.381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;4;331;;624;887;1.140;1.379;1.608;1.827;;624;887;1.375;2.496;2.929;3.343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;5;343;;618;878;1.128;1.364;1.590;1.806;;618;878;1.360;2.467;2.895;3.304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;6;365;;610;866;1.112;1.345;1.568;1.781;;610;866;1.342;2.434;2.856;3.259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;7;509;;601;854;1.097;1.327;1.548;1.758;;601;854;1.324;2.402;2.819;3.217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;8;574;;589;838;1.076;1.302;1.518;1.724;;589;838;1.298;2.356;2.765;3.155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;9;625;;577;821;1.054;1.275;1.487;1.689;;577;821;1.272;2.308;2.709;3.091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;10;597;;561;798;1.024;1.239;1.445;1.641;;561;798;1.236;2.243;2.632;3.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;11;558;;544;773;993;1.201;1.400;1.590;;544;773;1.197;2.172;2.550;2.910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;12;516;;527;748;961;1.162;1.355;1.539;;527;748;1.159;2.103;2.468;2.817;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;13;486;;511;726;932;1.128;1.315;1.493;;511;726;1.125;2.040;2.394;2.732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;14;445;;495;703;903;1.092;1.274;1.447;;495;703;1.089;1.976;2.319;2.647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;15;433;;481;683;876;1.060;1.236;1.404;;481;683;1.057;1.918;2.250;2.568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;16;394;;465;660;848;1.025;1.195;1.357;;465;660;1.022;1.854;2.176;2.483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;17;369;;450;639;820;992;1.156;1.313;;450;639;989;1.794;2.105;2.403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;18;341;;436;620;795;962;1.121;1.273;;436;620;959;1.739;2.041;2.329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;19;301;;422;600;771;933;1.087;1.235;;422;600;930;1.687;1.980;2.260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;20;323;;414;588;755;913;1.065;1.209;;414;588;911;1.652;1.939;2.213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;21;315;;404;574;737;891;1.039;1.180;;404;574;889;1.613;1.893;2.160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;22;297;;395;561;720;872;1.016;1.154;;395;561;869;1.577;1.851;2.113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;23;268;;386;549;706;854;995;1.131;;386;549;851;1.545;1.813;2.070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;21;24;235;;379;538;692;837;976;1.108;;379;538;834;1.514;1.777;2.028;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;1;229;;373;531;681;824;961;1.092;;373;531;822;1.492;1.751;1.998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;2;222;;368;523;672;812;947;1.076;;368;523;810;1.470;1.726;1.969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;3;225;;362;516;662;802;935;1.062;;362;516;799;1.451;1.703;1.944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;4;218;;357;509;654;791;923;1.049;;357;509;789;1.434;1.683;1.921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;5;217;;352;502;646;782;913;1.037;;352;502;780;1.419;1.666;1.902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;6;252;;349;498;640;775;905;1.028;;349;498;773;1.406;1.651;1.885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;7;338;;347;494;636;770;899;1.021;;347;494;768;1.397;1.640;1.872;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;8;396;;344;490;631;764;891;1.013;;344;490;762;1.385;1.626;1.856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;9;380;;341;486;626;758;884;1.005;;341;486;756;1.374;1.613;1.842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;10;335;;338;481;619;750;875;994;;338;481;748;1.360;1.596;1.823;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;11;299;;335;477;614;743;867;985;;335;477;741;1.347;1.582;1.806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;12;281;;332;473;609;737;860;977;;332;473;735;1.336;1.568;1.790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;13;246;;329;469;603;730;852;968;;329;469;728;1.323;1.553;1.773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;14;226;;327;466;599;725;845;960;;327;466;723;1.313;1.541;1.759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;15;197;;325;462;594;719;839;953;;325;462;717;1.304;1.530;1.747;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;16;169;;322;459;590;714;833;947;;322;459;712;1.294;1.519;1.734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;17;165;;320;456;586;709;827;940;;320;456;707;1.285;1.509;1.722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;18;152;;319;454;583;706;823;935;;319;454;704;1.279;1.501;1.713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;19;171;;318;452;581;703;820;931;;318;452;701;1.273;1.494;1.705;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;20;175;;317;451;579;701;817;928;;317;451;699;1.268;1.489;1.699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;21;184;;315;449;577;698;814;924;;315;449;696;1.263;1.483;1.693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;22;177;;314;447;574;695;810;921;;314;447;693;1.258;1.477;1.686;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;23;152;;314;446;573;693;808;918;;314;446;691;1.254;1.472;1.680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;22;24;151;;313;445;571;691;806;915;;313;445;689;1.250;1.467;1.674;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;1;149;;312;444;570;689;804;913;;312;444;687;1.247;1.464;1.670;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;2;154;;311;442;568;687;801;910;;311;442;685;1.244;1.459;1.666;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;3;164;;310;441;566;685;799;907;;310;441;683;1.239;1.455;1.660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;4;168;;309;439;564;682;795;903;;309;439;680;1.234;1.448;1.653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;5;171;;308;437;561;679;791;899;;308;437;677;1.228;1.441;1.645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;6;216;;306;435;559;676;788;895;;306;435;674;1.222;1.434;1.637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;7;294;;306;435;557;674;785;892;;306;435;672;1.217;1.428;1.630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;8;355;;305;432;554;670;780;886;;305;432;668;1.209;1.418;1.618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;9;327;;302;428;549;663;773;878;;302;428;662;1.198;1.405;1.603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;10;287;;299;423;542;656;764;867;;299;423;654;1.184;1.389;1.584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;11;254;;295;418;536;648;755;858;;295;418;646;1.171;1.373;1.567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;12;232;;292;414;531;642;748;849;;292;414;640;1.159;1.360;1.552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;13;208;;289;410;526;635;740;841;;289;410;634;1.148;1.347;1.537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;14;190;;287;407;522;631;735;835;;287;407;629;1.140;1.337;1.526;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;15;162;;285;404;519;627;731;830;;285;404;625;1.133;1.330;1.518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;16;136;;284;403;517;624;728;826;;284;403;623;1.128;1.324;1.511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;17;138;;284;403;516;624;727;825;;284;403;622;1.127;1.322;1.508;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;18;129;;284;402;516;624;727;825;;284;402;622;1.126;1.321;1.507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;19;155;;284;403;517;624;728;826;;284;403;623;1.128;1.323;1.510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;20;156;;285;404;518;626;729;828;;285;404;624;1.130;1.326;1.513;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;21;165;;287;406;521;629;733;832;;287;406;628;1.136;1.332;1.520;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;22;159;;289;409;524;633;738;837;;289;409;632;1.142;1.340;1.528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;23;136;;290;411;526;636;741;841;;290;411;634;1.148;1.347;1.536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;23;24;140;;292;413;529;640;745;846;;292;413;638;1.155;1.355;1.545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24;1;136;;293;415;532;643;749;850;;293;415;641;1.161;1.361;1.553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24;2;139;;295;417;535;646;753;855;;295;417;645;1.167;1.369;1.562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24;3;144;;298;421;540;652;759;862;;298;421;650;1.175;1.378;1.573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24;4;145;;300;424;543;656;764;867;;300;424;654;1.183;1.387;1.583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24;5;147;;302;427;547;660;769;873;;302;427;659;1.191;1.397;1.593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24;6;192;;304;429;550;664;774;878;;304;429;663;1.198;1.406;1.604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24;7;260;;304;430;552;667;777;882;;304;430;665;1.204;1.413;1.612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24;8;314;;306;434;556;672;784;890;;306;434;671;1.215;1.425;1.626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24;9;274;;310;440;564;682;794;902;;310;440;680;1.231;1.444;1.648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24;10;240;;317;450;576;696;811;921;;317;450;694;1.257;1.474;1.682;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24;11;213;;324;459;589;711;829;941;;324;459;709;1.284;1.506;1.719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24;12;192;;332;470;602;728;848;963;;332;470;726;1.314;1.541;1.758;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24;13;178;;341;483;619;748;871;989;;341;483;746;1.350;1.584;1.807;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24;14;167;;349;495;635;767;893;1.014;;349;495;765;1.385;1.624;1.853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;24;15;143;;358;507;650;786;916;1.040;;358;507;784;1.420;1.665;1.900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
